"X07.01" "X07.02" "X07.03" "X07.04" "X07.05" "X07.06" "X07.07" "X07.08" "X07.09" "X07.10" "X07.11" "X07.12" "X07.13" "X07.14" "X07.15" "X07.16" "X07.17" "X07.18" "X07.19" "X07.20" "X07.21" "X07.22" "X07.23" "X07.24" "X07.25" "X07.26" "X07.27" "X07.28" "X07.29" "X07.30" "X07.31" "X08.01" "X08.02" "X08.03" "X08.04" "X08.05" "X08.06" "X08.07" "X08.08" "X08.09" "X08.10" "X08.11" "X08.12" "X08.13" "X08.14" "X08.15" "X08.16" "X08.17" "X08.18" "X08.19" "X08.20" "X08.21" "X08.22" "X08.23" "X08.24" "X08.25" "X08.26" "X08.27" "X08.28" "X08.29" "X08.30" "X08.31" "X09.01" "X09.02" "X09.03" "X09.04" "X09.05" "X09.06" "X09.07" "X09.08" "X09.09" "X09.10" "X09.11" "X09.12" "X09.13" "X09.14" "X09.15" "X09.16" "X09.17" "X09.18" "X09.19" "X09.20" "X09.21" "X09.22" "X09.23" "X09.24" "X09.25" "X09.26" "X09.27" "X09.28" "X09.29" "X09.30" "X10.01" "X10.02" "X10.03" "X10.04" "X10.05" "X10.06" "X10.07" "X10.08" "X10.09" "X10.10" "X10.11" "X10.12" "X10.13" "X10.14" "X10.15" "X10.16" "X10.17" "X10.18" "X10.19" "X10.20" "X10.21" "X10.22" "X10.23" "X10.24" "X10.25" "X10.26" "X10.27" "X10.28" "X10.29" "X10.30" "X10.31"
"4" -0.29189190589253 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.258868343364708 -0.184898701278992 -0.19470379719898 -0.247902324252932 -0.259731190571825 -0.186232191634282 -0.30731336018791 -0.310482367268676 -0.292205668913776 -0.285812746541681 -0.310482367268676 -0.310482367268676 -0.274831039226131 -0.293931365723591 -0.187251922244013 -0.256828882898277 0.0703475695177349 -0.246866905928897 -0.276752837637132 -0.192585893972292 -0.193142822702456 -0.299830111328753 -0.301069475454696 -0.282635895372676 -0.305775921302385 -0.288832715823548 -0.131558979478019 0.125099207114534 1.9028807369765 1.90625369250467 -0.184349615417625 -0.283420302186878 -0.218785109653769 0.0599933869833486 0.247702144837774 0.873188813178819 1.09611746100932 1.10913864745707 0.546561466626569 0.823692692736861 -0.0638645935814137 -0.0765719984927555 0.29358997944702 0.885425587555263 2.76627834695976 3.6170468221595 2.9251992919753 0.125569854969153 0.555895912197522 1.54566149754712 2.53456422943003 4.23134002367543 0.0433639296693893 -0.287577663329104 -0.310380394268369 -0.306481888169843 -0.242709544683129 -0.273458325283389 -0.241925136659371 -0.234159502288296 -0.258554580042249 0.0451680708914246 -0.214000221998407 0.00328071445478326 0.134982751254257 -0.0706889431151404 -0.026291471344844 -0.246710024361797 -0.270077528265412 -0.303265816786967 -0.299735982237886 -0.296990555557252 -0.257770172583264 -0.274556496304861 -0.309541078075512 -0.310482367268676 -0.310482367268676 -0.305148395229772 -0.30875667041415 -0.293539161085755 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310168604204225 -0.286714814950082 -0.285224440552101 -0.293774484015298 -0.125989687469926 -0.248788704584633 -0.30048116951218 -0.310168604204225 -0.296833673613636 -0.226315421533 -0.172505058419368 -0.192868281677884 -0.263959147030844 NA -0.211788189991477 -0.177525268754831 -0.194939119078986 -0.0162588841768883 -0.0149959997373079 0.902996291160777 -0.0354690384078865 0.21907124825249 -0.0499021408867813 1.20518939154999 0.916135155232877 0.885935464155599 -0.034841513786742 0.024459701822173 -0.154855888003656 -0.293570538039251 -0.302402968327935 -0.246772775972044 -0.310380394268369 -0.200931990292243 NA
"5" -0.292362549756084 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.259495869586044 -0.174230756269307 -0.19203681037002 -0.259809632720244 -0.262398177212528 -0.180741337538808 -0.306842715521908 -0.310482367268676 -0.303108935285757 -0.288989597047077 -0.310482367268676 -0.310482367268676 -0.279890468809703 -0.296049266361734 -0.26208441379594 -0.277694126860888 0.176634807272287 -0.240513205002821 -0.272752358640899 -0.186467514879157 -0.190601341353085 -0.302622602620711 -0.302481409125604 -0.280439553569761 -0.305619039771054 -0.288362071108128 -0.132186505511097 0.113097768878627 1.87526958229642 1.83432352312214 -0.14528611466964 -0.281459282786384 -0.238865945018435 0.0563066683209808 0.221659806769983 0.884484276691268 1.11447260916062 1.36799314986825 1.05917189370341 0.901819686702517 -0.0526475679345185 -0.087632145584676 0.25256545675706 0.893818766032169 2.90378496234899 3.86272330804436 3.00748363142013 0.0965467700444554 0.400583180064786 0.757959329111683 2.79553670128759 3.94368199553157 0.101331666595 -0.279184501927184 -0.30896061638549 -0.307266295831205 -0.233296653292729 -0.272595477544443 -0.246396261462919 -0.207881844270141 -0.251887114334717 0.0745049140085545 -0.21133323658138 0.0111247865972828 0.479259296272637 0.235230046745811 -0.018918041456293 -0.259103665432971 -0.26107252850236 -0.300755712273431 -0.297618081642101 -0.297618081684459 -0.257299528070222 -0.268594998166989 -0.309541078075512 -0.310482367268676 -0.310482367268676 -0.297931844517447 -0.305226835895661 -0.286087288323991 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.303814902191808 -0.285695085060437 -0.283341862048111 -0.291499701955954 -0.164268779582315 -0.236983369225358 -0.290009327609744 -0.310482367268676 -0.29903001516711 -0.226629184761329 -0.185055580539933 -0.182035611761657 -0.2526244555916 NA -0.22249535532234 -0.144658587412886 -0.196194170768627 0.0421402723753341 0.00688897416671925 0.970494574886717 0.019988581630942 0.00979128264036326 -0.0146822379209125 1.45227782161054 0.978495582626317 0.879464098453766 -0.0232322809275841 0.181811882890547 -0.0868477424556213 -0.298527994444189 -0.301265577286497 -0.244270515885141 -0.31041961465139 -0.247408146285855 NA
"7" -0.292048787130179 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.257613291204422 -0.187251923938334 -0.190311112990724 -0.24558047777523 -0.25886834232929 -0.192507455636094 -0.30709372596526 -0.310482367268676 -0.295264858818033 -0.283224200995154 -0.310482367268676 -0.310482367268676 -0.276713617758359 -0.293774484217675 -0.185761550039236 -0.256593560594691 0.0774072326481221 -0.244356801796583 -0.28334186236815 -0.206156146749653 -0.186585174524887 -0.301398926637358 -0.29510797710974 -0.282479013782044 -0.305775921302385 -0.291499701843 -0.120028187778927 0.129648774772468 1.94876857346832 1.86397408725078 -0.172975702367637 -0.277694125896066 -0.221530536230861 0.0555222609090601 0.245584246458725 0.897740774147129 1.09062660098373 1.12388548953793 0.523970537248449 0.856010295841882 -0.0634723910755972 -0.104104707918164 0.217345554497158 0.869345236105066 2.64077306598224 3.55272541635871 2.46937998898833 0.105959668635718 0.469297296476993 1.22562318161365 2.29790847295226 4.32296663033394 0.0596011711112252 -0.283420302624578 -0.310058787125846 -0.306089684354222 -0.242552663539609 -0.272830799099704 -0.241297610532163 -0.239336591743507 -0.258789902251706 -0.0320960831150413 -0.213294256217196 0.357048573668489 0.335398911384415 -0.118773132606515 -0.0633155134148472 -0.247886635832661 -0.285475450537046 -0.30357957985057 -0.300285067628608 -0.297304318620855 -0.258319258068115 -0.275419344848609 -0.309854841139586 -0.310482367268676 -0.310482367268676 -0.305305276820405 -0.30875667041415 -0.29306851640328 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.309854841139586 -0.288283630211623 -0.286793256166625 -0.293931365488269 -0.130696132129708 -0.249690774230829 -0.299814423242639 -0.310168604204225 -0.297304318225514 -0.229923696870337 -0.169916512985795 -0.187730411602562 -0.262908041293717 NA -0.20633655894692 -0.174230755657469 -0.199998548464887 -0.00888545047611598 -0.00832853290022854 0.890484986961102 -0.0400970462845976 0.148866758600087 -0.0251148575678209 1.20322836090109 0.938294678115371 0.893583441846004 -0.0328804927389916 -0.00887762219730044 -0.161366471108671 -0.294762837746835 -0.301697001516013 -0.25060068660463 -0.310349017959703 -0.206509131193385 NA
"11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.91503903512985 -0.186859720679486 -0.246553141900472 -0.175328922909078 0.202677141574922 0.329829629259859 1.2251525224165 0.975161811085564 1.13070983492999 0.505929150442905 0.836556981333204 -0.0186827155758082 -0.107242337048138 0.419016766316956 1.62033715294915 2.92582681749067 3.7554948114791 3.13283194300826 0.250212233250558 0.475415690018918 1.41756773053138 3.40423704044286 4.31019649372062 0.0893302185696857 -0.270948221122837 -0.309972502281496 -0.305226835928606 -0.210627271082556 -0.255260068074435 -0.227962681187935 -0.242003578431274 -0.242395783478572 0.0684649754636476 -0.0409598920327164 -0.0837885446021766 0.0274404684932175 -0.0487255281922408 0.232955257575027 -0.190860199887509 -0.299265337465989 -0.300128186141517 -0.303422698377599 -0.300441949205121 -0.279655146317859 -0.28130240250885 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.309854841139586 -0.308286025758972 -0.300755712122825 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.303030494417491 -0.289617123103688 -0.282086809850174 -0.297461200183249 -0.157993518169048 -0.244984327547275 -0.300912593821705 -0.309227315010967 -0.280125790680296 -0.215882799674062 -0.0712380294942157 -0.178239078863838 -0.260005732443558 NA -0.192640796971877 -0.171171565616725 -0.0273896421262873 0.368202866389727 0.0563066561783499 0.862050212219428 0.0444621035570871 0.388032666462888 0.0788975986874551 1.26774591066579 0.811808943703166 0.766509388026142 0.0483056994095603 0.138512583596015 -0.0109170778160921 -0.14066594768502 -0.301853883026636 0.0511687937274703 -0.310450975273378 -0.192883967839061 NA
"12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.91503903512985 -0.186859720679486 -0.246553141900472 -0.175328922909078 0.202677141574922 0.329829629259859 1.2251525224165 0.975161811085564 1.13070983492999 0.505929150442905 0.836556981333204 -0.0186827155758082 -0.107242337048138 0.419016766316956 1.62033715294915 2.92582681749067 3.7554948114791 3.13283194300826 0.250212233250558 0.475415690018918 1.41756773053138 3.40423704044286 4.31019649372062 0.0893302185696857 -0.270948221122837 -0.309972502281496 -0.305226835928606 -0.210627271082556 -0.255260068074435 -0.227962681187935 -0.242003578431274 -0.242395783478572 0.0684649754636476 -0.0409598920327164 -0.0837885446021766 0.0274404684932175 -0.0487255281922408 0.232955257575027 -0.190860199887509 -0.299265337465989 -0.300128186141517 -0.303422698377599 -0.300441949205121 -0.279655146317859 -0.28130240250885 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.309854841139586 -0.308286025758972 -0.300755712122825 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.303030494417491 -0.289617123103688 -0.282086809850174 -0.297461200183249 -0.157993518169048 -0.244984327547275 -0.300912593821705 -0.309227315010967 -0.280125790680296 -0.215882799674062 -0.0712380294942157 -0.178239078863838 -0.260005732443558 NA -0.192640796971877 -0.171171565616725 -0.0273896421262873 0.368202866389727 0.0563066561783499 0.862050212219428 0.0444621035570871 0.388032666462888 0.0788975986874551 1.26774591066579 0.811808943703166 0.766509388026142 0.0483056994095603 0.138512583596015 -0.0109170778160921 -0.14066594768502 -0.301853883026636 0.0511687937274703 -0.310450975273378 -0.192883967839061 NA
"15" -0.305619039479254 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.261692210866544 -0.183251443930215 -0.223883761855264 -0.250741880175039 -0.245925615632071 -0.211725442475838 -0.307250607548833 -0.310482367268676 -0.256593560735884 -0.272791579277409 -0.310482367268676 -0.310482367268676 -0.259142886036536 -0.289146478943629 -0.193370303831564 -0.239493474251896 0.109097311367321 -0.224354406650694 -0.286871696611311 -0.1789371999878 -0.229586401364584 -0.30059098668916 -0.285067559370929 -0.266084893356947 -0.301932323720763 -0.289303360242461 -0.0915541895627552 0.361519677669545 2.22260530003582 2.02454235098715 -0.189134501331602 -0.24545497050719 -0.182623917332363 0.200794567852682 0.329280540433432 1.21503367136327 1.01767669675567 1.10662852374594 0.621080198762389 0.846440525614121 -0.0145253518356241 -0.116263025650334 0.39650427080391 1.526600440845 2.93280804849736 3.80318677935649 3.54401847888928 0.284961495609734 0.412819945969627 1.17314632156272 3.32603157401927 4.26967397562929 0.115529436463192 -0.269693169037854 -0.309909749671599 -0.305226835914487 -0.2090584580001 -0.235728316547363 -0.22819800264436 -0.241297611049872 -0.238081539206706 0.029323034685144 -0.0768857645449524 -0.0865339707086246 0.030891857133428 -0.0373516110947086 0.225268069070464 -0.171093125068497 -0.2984338652639 -0.300755712273431 -0.303108935299876 -0.296676792667787 -0.279655146553182 -0.279419823774245 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.308129144285531 -0.307972262694898 -0.298480929719911 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.30334425741991 -0.289617123277826 -0.27926294238599 -0.296441470265366 -0.168347698914985 -0.240591644798017 -0.298794693268278 -0.309227315010967 -0.285695085088676 -0.221059890588271 -0.0638645987585044 -0.178639126309289 -0.256287639952773 NA -0.20769358322689 -0.169838071590407 -0.0279387309527146 0.463273077038386 0.0633663269331797 1.01504892318822 0.0610915445396785 0.241583746589404 0.085643505743311 1.40423285474651 0.894171734897565 0.827693188841025 0.0539534330483631 0.210678085306856 -0.0636292757489517 -0.183878970433938 -0.301579340237146 -0.271552214026625 -0.310380394268369 -0.206030640987677 NA
"16" -0.304677750547298 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.262633499939694 -0.181055103591004 -0.223648438892776 -0.253863822155482 -0.246004056556815 -0.21439242742222 -0.306560328776901 -0.310482367268676 -0.258946784007064 -0.275027141104997 -0.310482367268676 -0.310482367268676 -0.261731431046529 -0.290087768139146 -0.198233630011382 -0.246239380837108 0.118745525061307 -0.233139773184627 -0.288440511712833 -0.161052705527118 -0.233963397340827 -0.302857924816048 -0.286793255964248 -0.267418386658472 -0.30130479758885 -0.286636373992393 -0.0932798829415712 0.353754039768636 2.32653931776664 2.06925360137585 -0.193056539991397 -0.249847653350577 -0.181839506390608 0.200088596706123 0.340183815794724 1.21299420967316 1.02857996976374 1.16263522635162 0.652534950283298 0.898368303427655 -0.00393584986858419 -0.131088331152755 0.361990327453807 1.48690940869859 2.81875515759302 4.0670615362496 3.52229037144466 0.29264868646752 0.418546118415273 1.00693032489351 3.19409426099232 4.08647559570352 0.141336450909593 -0.272987681391597 -0.308890019697708 -0.305462158255724 -0.219177315124646 -0.246160938453366 -0.230237463534372 -0.252671522123154 -0.241925137930111 0.078819157809776 -0.0139762660683867 -0.0830041348370329 0.02132208135206 -0.0288800105188433 0.266920116334504 -0.170544041042645 -0.299281025622699 -0.300128186141517 -0.301069475393512 -0.296676792667787 -0.277458805220911 -0.275654666766266 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.305619039742815 -0.306246565840372 -0.296206147397006 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.304677750457875 -0.289617123277826 -0.280282672186212 -0.29801028544219 -0.180270696179084 -0.236551945174687 -0.294911875513261 -0.309541078075512 -0.288911156400014 -0.222079620492036 -0.0597072368538343 -0.179658857154343 -0.252663676571681 NA -0.218079141848786 -0.16034673828691 -0.0310763605062684 0.511027816198966 0.0586598830264291 1.10874642730208 0.0745833568158764 0.197892234811389 0.0969389758447842 1.45600376859505 0.886327665484804 0.809651814272242 0.0487763407692841 0.216325813062601 -0.051784720068499 -0.0899461546059933 -0.301422458768881 -0.262837445355673 -0.310396082422679 -0.210493921887008 NA
"22" -0.305069954013229 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.265928012467575 -0.183722089478676 -0.223726879205682 -0.234190878564064 -0.244984326605986 -0.205136418210758 -0.307438865403938 -0.310482367268676 -0.254083457403667 -0.271575747847763 -0.310482367268676 -0.310090163423499 -0.259731191513114 -0.288048308133947 -0.189134501002151 -0.241062288793351 0.121883155038441 -0.219098874717612 -0.290166208555593 -0.197841424869956 -0.227311620853662 -0.300073277625977 -0.283341862283434 -0.265771130528665 -0.302089205250212 -0.290009327209696 -0.0895931675737156 0.377129385924505 1.82200828523001 1.90123347520366 -0.180662898449578 -0.219569515983207 -0.200351528672818 0.213894172163585 0.343635202364099 1.10192207579164 1.02771712053285 1.07493845509853 0.746977647182703 0.83843957199865 -0.00628907535179403 -0.112654752383834 0.416663543751743 1.56032996882929 2.91617859174818 3.7478860366019 3.44777165672269 0.315710280219886 0.427174611665451 1.30539744205859 3.42886744045333 4.60627117185859 0.136159357453902 -0.257927053962107 -0.30958814251458 -0.305775921333447 -0.2054501811567 -0.222393387109006 -0.224040642481075 -0.240905407179186 -0.233845738401064 0.0372455568358279 -0.0563342821728271 -0.0900638056389271 0.0445405507884683 -0.022134103321794 0.245897985684179 -0.161131148004989 -0.299328090045765 -0.301069475337035 -0.304285546747208 -0.299186897124845 -0.278792297934131 -0.280674876381643 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.307972262694898 -0.297696522086787 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.302559849876209 -0.28953868240956 -0.281459284014767 -0.296912114806647 -0.163641253455107 -0.241454492899359 -0.300206626943893 -0.308835111165696 -0.278792297510551 -0.221059891670754 -0.0731990482358075 -0.184051538538731 -0.257825078453782 NA -0.210580203515585 -0.162464640619373 -0.0330765974982023 0.512604487399106 0.0834471663453895 0.903976797307657 0.0756030830015483 0.130354744742416 0.0923109693329426 1.41678337682001 0.967906068610775 0.90574175129483 0.0567772980087183 0.170045759239655 0.0192826137318309 -0.0678964536304578 -0.302089205259625 -0.264492545582661 -0.310380394268369 -0.204610863214881 NA
"28" -0.301226356692345 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.261064684927594 -0.179250966228255 -0.197449222787719 -0.216526017327794 -0.252279317828887 -0.190624875795473 -0.306528952541608 -0.310482367268676 -0.308286025817803 -0.284518474243769 -0.310482367268676 -0.310482367268676 -0.291695803764223 -0.294245128726011 -0.252122436450045 -0.257927054009171 0.155063605538837 -0.251887114617104 -0.298794693047075 -0.231021869628487 -0.215772983273646 -0.301218512788128 -0.286950137347797 -0.276203752580568 -0.302716731382126 -0.295107976832059 -0.0837885516147813 0.156004869150113 1.22813326908515 1.63280918703345 -0.17870188239066 -0.258633019931575 -0.251494908769711 0.0579539205397311 0.322848397311872 1.03391394841049 1.08435133453456 1.24311548900566 1.17934316450099 0.731524800068867 -0.0265267886595969 -0.111948785661334 0.176399472731942 0.959316802647316 2.49102962774018 3.92131860117136 3.61453676480926 0.295629439254549 0.177262319609608 0.507027315388355 2.16471606794849 3.96282942446135 0.1770269991886 -0.263417907634001 -0.308725294072962 -0.308050703492097 -0.232198483123124 -0.261378447779408 -0.263182584812706 -0.252985285539741 -0.245219649380216 0.209501478495373 -0.0820628528706167 -0.108497385349137 -0.0210359312225457 -0.0770426427704758 0.0366964658914999 -0.234865469246117 -0.295680594344891 -0.301069475337035 -0.29801028545631 -0.29291163589513 -0.263731671078827 -0.277615685945557 -0.309854841139586 -0.310482367268676 -0.310482367268676 -0.29808872637164 -0.304677750547298 -0.280753315729727 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.308286025817803 -0.274556496126016 -0.285851967032292 -0.297304318592617 -0.168347700326919 -0.222511048354928 NA NA NA NA NA NA NA NA -0.213231500229954 -0.145992077297532 -0.152816426972452 0.0785211001331815 0.066582400988376 0.794238160088068 0.0690925045559159 -0.0320176451082944 0.0882320486354027 1.34795159878536 0.99692914769948 0.868874595263051 0.0929384911302194 0.0577185928707967 -0.132657149271108 -0.293688198908657 -0.300794932749922 -0.256428835029245 -0.310301953498609 -0.263598321440873 NA
"31" -0.296284588354695 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.263417907718717 -0.16999495508715 -0.204508894154387 -0.23960329178186 -0.26090780237214 -0.198861155715009 -0.306277942010245 -0.310482367268676 -0.307815381206396 -0.281537724210011 -0.310482367268676 -0.310482367268676 -0.290636853605171 -0.29353916196586 -0.241062290346478 -0.263182585518673 0.168084761535877 -0.248043518388115 -0.289695564061376 -0.212352969685528 -0.176066267178087 -0.298473086018071 -0.298873133882396 -0.277772567700915 -0.303265816758728 -0.292519431699699 -0.0634723957349788 0.14933740744306 1.34822606789544 1.70536687581296 -0.106536375173277 -0.268045911736142 -0.247965075251342 0.0436777031577711 0.25280079176805 0.912958280131594 1.14694707105354 1.24546868050833 0.752546943426596 0.802278363110554 -0.0219772242491102 -0.0988491749496637 0.216404262458947 0.935000161629368 2.57347085797674 3.87252844152178 2.80243943348026 0.1745168947739 0.274215115275977 0.756939590030348 1.9091560354295 3.74771346063734 0.208873953921293 -0.271967950744214 -0.309313599840398 -0.307030973532797 -0.237218691717202 -0.252200878269013 -0.251416469586352 -0.235179231391964 -0.246710023985281 0.0381868386610507 -0.207018994709801 0.495104342833099 0.293119334369204 -0.0777486125051008 0.073798945450541 -0.253612812231721 -0.289648499487704 -0.299186896950706 -0.297853403837439 -0.297931844748063 -0.254397218796482 -0.270948221296975 -0.309854841139586 -0.310482367268676 -0.310482367268676 -0.300441949148644 -0.306011243556553 -0.288440511364556 -0.310482367268676 -0.310482367268676 -0.310482367268676 -0.310482367268676 0.0838393721457183 -0.0978294458930597 -0.279262942268329 -0.291891905713685 -0.157679755317235 -0.231217973446409 -0.292480211519714 -0.310482367268676 -0.299108455875357 -0.242395779619286 -0.17399543278911 -0.191268089119276 -0.244403862821595 NA -0.200767261620543 -0.151326050955453 -0.208901574597486 0.0288759368512494 0.0237537418769557 0.935745319116565 0.025950078498074 -0.0362534462433874 0.0320684590972715 1.36246312515167 1.01026408043235 0.941432298161903 -0.0146037972314913 0.13568871072883 -0.0634723965350746 -0.297790651135295 -0.300873373500527 -0.234583079893269 -0.310388238344606 -0.256468054832714 NA
