"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123"
"4" 0.106084791307251 -0.0523156831373854 -0.272886291981922 0.120608743025855 0.880602729221352 1.40119333365768 0.760498002345539 0.636099110128104 1.03418142756567 1.0335219141173 0.585873497070949 0.883123536179576 1.26745866218218 1.04722513798903 0.650022171815961 1.31472379264887 1.58628211897979 1.33149009009193 1.19252327859267 0.752789022926789 0.364203699145785 0.425347923737113 1.04337064827966 1.19277242811761 1.33701534720385 1.33056677126421 1.25649608308479 1.34440189782562 1.40476936213331 1.6353499195387 1.70840935376394 1.54451293391621 1.10003018142205 0.742368710442505 0.61477484196406 0.743057535599696 1.11807153819863 1.13719742820143 1.52704315546154 1.86886164782574 2.22842837987835 1.7689087207613 0.585917464634171 0.516785799390339 0.78693716369807 1.37667408923264 1.56818213878557 1.55153308817777 1.1467090777124 1.03249600430872 0.801475771271078 0.440692603302574 1.00761036352346 1.08522776846969 0.581550020020502 0.256864221459582 0.0724349495858513 -0.232494757232717 0.0326443048673845 0.394629252897365 0.40433142851564 0.289356250682727 0.0924108791443308 0.154595669398644 0.323079371676166 -0.00333581770492929 0.206301523751038 0.688376542802419 1.03958943784232 0.685870391698608 0.21925729904795 0.220884098887268 0.00617583180604446 -0.453417106583055 -0.594582296243555 -0.338324681914871 -0.11750492354539 -0.183265742275324 -0.648310658504291 -0.526373949827445 -0.547155951378377 -0.351910658951339 -0.299911687510778 0.285575040245391 -0.468717818585294 -0.414828241926065 -0.491126619975544 -0.238694183647419 -0.146274365748835 -0.276667502419257 -0.407353756177847 -0.748644637783339 -0.620742996362323 -0.244322031740191 -0.831201065665156 -0.925145092422192 -1.28937238617664 -0.840287695398288 -1.14633124715188 -0.803135104473307 -0.875637616231046 NA -1.21430509989746 -0.899013704012241 -0.91047458215951 -1.28172203017553 -1.04976382245575 -0.880312833787287 -0.502382316161098 -0.376429903376385 -0.416191236386034 -0.473583562248836 -0.62301465379561 -0.513110401587953 -0.333605496795408 -0.248161865595162 -0.732992185275307 -0.878759313220008 -0.802373000044076 -0.779993510362643 -1.21480339894734 -1.33386756016017 NA
"5" 0.106084791307251 -0.0523156831373854 -0.272886291981922 0.120608743025855 0.880602729221352 1.40119333365768 0.760498002345539 0.636099110128104 1.03418142756567 1.0335219141173 0.585873497070949 0.883123536179576 1.26745866218218 1.04722513798903 0.650022171815961 1.31472379264887 1.58628211897979 1.33149009009193 1.19252327859267 0.752789022926789 0.364203699145785 0.425347923737113 1.04337064827966 1.19277242811761 1.33701534720385 1.33056677126421 1.25649608308479 1.34440189782562 1.40476936213331 1.6353499195387 1.70840935376394 1.54451293391621 1.10003018142205 0.742368710442505 0.61477484196406 0.743057535599696 1.11807153819863 1.13719742820143 1.52704315546154 1.86886164782574 2.22842837987835 1.7689087207613 0.585917464634171 0.516785799390339 0.78693716369807 1.37667408923264 1.56818213878557 1.55153308817777 1.1467090777124 1.03249600430872 0.801475771271078 0.440692603302574 1.00761036352346 1.08522776846969 0.581550020020502 0.256864221459582 0.0724349495858513 -0.232494757232717 0.0326443048673845 0.394629252897365 0.40433142851564 0.289356250682727 0.0924108791443308 0.154595669398644 0.323079371676166 -0.00333581770492929 0.206301523751038 0.688376542802419 1.03958943784232 0.685870391698608 0.21925729904795 0.220884098887268 0.00617583180604446 -0.453417106583055 -0.594582296243555 -0.338324681914871 -0.11750492354539 -0.183265742275324 -0.648310658504291 -0.526373949827445 -0.547155951378377 -0.351910658951339 -0.299911687510778 0.285575040245391 -0.468717818585294 -0.414828241926065 -0.491126619975544 -0.238694183647419 -0.146274365748835 -0.276667502419257 -0.407353756177847 -0.748644637783339 -0.620742996362323 -0.244322031740191 -0.831201065665156 -0.925145092422192 -1.28937238617664 -0.840287695398288 -1.14633124715188 -0.803135104473307 -0.875637616231046 NA -1.21430509989746 -0.899013704012241 -0.91047458215951 -1.28172203017553 -1.04976382245575 -0.880312833787287 -0.502382316161098 -0.376429903376385 -0.416191236386034 -0.473583562248836 -0.62301465379561 -0.513110401587953 -0.333605496795408 -0.248161865595162 -0.732992185275307 -0.878759313220008 -0.802373000044076 -0.779993510362643 -1.21480339894734 -1.33386756016017 NA
"7" 0.106084791307251 -0.0523156831373854 -0.272886291981922 0.120608743025855 0.880602729221352 1.40119333365768 0.760498002345539 0.636099110128104 1.03418142756567 1.0335219141173 0.585873497070949 0.883123536179576 1.26745866218218 1.04722513798903 0.650022171815961 1.31472379264887 1.58628211897979 1.33149009009193 1.19252327859267 0.752789022926789 0.364203699145785 0.425347923737113 1.04337064827966 1.19277242811761 1.33701534720385 1.33056677126421 1.25649608308479 1.34440189782562 1.40476936213331 1.6353499195387 1.70840935376394 1.54451293391621 1.10003018142205 0.742368710442505 0.61477484196406 0.743057535599696 1.11807153819863 1.13719742820143 1.52704315546154 1.86886164782574 2.22842837987835 1.7689087207613 0.585917464634171 0.516785799390339 0.78693716369807 1.37667408923264 1.56818213878557 1.55153308817777 1.1467090777124 1.03249600430872 0.801475771271078 0.440692603302574 1.00761036352346 1.08522776846969 0.581550020020502 0.256864221459582 0.0724349495858513 -0.232494757232717 0.0326443048673845 0.394629252897365 0.40433142851564 0.289356250682727 0.0924108791443308 0.154595669398644 0.323079371676166 -0.00333581770492929 0.206301523751038 0.688376542802419 1.03958943784232 0.685870391698608 0.21925729904795 0.220884098887268 0.00617583180604446 -0.453417106583055 -0.594582296243555 -0.338324681914871 -0.11750492354539 -0.183265742275324 -0.648310658504291 -0.526373949827445 -0.547155951378377 -0.351910658951339 -0.299911687510778 0.285575040245391 -0.468717818585294 -0.414828241926065 -0.491126619975544 -0.238694183647419 -0.146274365748835 -0.276667502419257 -0.407353756177847 -0.748644637783339 -0.620742996362323 -0.244322031740191 -0.831201065665156 -0.925145092422192 -1.28937238617664 -0.840287695398288 -1.14633124715188 -0.803135104473307 -0.875637616231046 NA -1.21430509989746 -0.899013704012241 -0.91047458215951 -1.28172203017553 -1.04976382245575 -0.880312833787287 -0.502382316161098 -0.376429903376385 -0.416191236386034 -0.473583562248836 -0.62301465379561 -0.513110401587953 -0.333605496795408 -0.248161865595162 -0.732992185275307 -0.878759313220008 -0.802373000044076 -0.779993510362643 -1.21480339894734 -1.33386756016017 NA
"11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.795041851185844 0.60904440289043 0.76137735361004 1.16387108322449 1.18299697322729 1.52245587303175 1.89405506155356 2.19408971299976 1.78494222548395 0.603094126000665 0.513356329458805 0.801812855922467 1.34346392314349 1.53497197269642 1.53549958345512 1.15356801757547 1.03822644338235 0.849561629584629 0.515115031987798 0.999593611162133 1.16423747958469 0.627349565046361 0.284343948475097 0.0701486362981595 -0.192410995426083 0.0979214804018418 0.398058722828899 0.414634494164662 0.267592306886437 0.134766298384243 0.100779372011454 0.389485048000061 0.0195566268807979 0.162788292012862 0.654037875923828 1.01325286747065 0.71450793121237 0.247880182707307 0.22202725553111 0.0771687905597271 -0.490056742603742 -0.516715741772392 -0.295954606820546 -0.159874998639716 -0.185552055563008 -0.641437062786811 -0.496593253669833 -0.555172703739707 -0.363356881244203 -0.288465465217915 0.292448635962871 -0.404598455549091 -0.438878499010047 -0.448771200735632 -0.213500769919595 -0.0707087804197687 -0.210247170240958 -0.250492146446076 -0.694842996250563 -0.628759748723653 -0.168756446411125 -0.880430080622548 -0.910254744343391 -1.27792616388378 -0.801361746089909 -1.14174396472209 -0.83634527056246 -0.991286963366737 NA -1.18911168616963 -0.861230911347712 -0.95856044047306 -1.28973878253685 -0.968467798053058 -0.844816354410441 -0.527575729888922 -0.377573060020226 -0.409317640668554 -0.523970389704483 -0.651637537454968 -0.542876441891161 -0.366801007030149 -0.255020805458237 -0.71009974068958 -0.842119677199321 -0.795499404326596 -0.812060519807947 -1.18503735864413 -1.34417062580918 NA
"12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.795041851185844 0.60904440289043 0.76137735361004 1.16387108322449 1.18299697322729 1.52245587303175 1.89405506155356 2.19408971299976 1.78494222548395 0.603094126000665 0.513356329458805 0.801812855922467 1.34346392314349 1.53497197269642 1.53549958345512 1.15356801757547 1.03822644338235 0.849561629584629 0.515115031987798 0.999593611162133 1.16423747958469 0.627349565046361 0.284343948475097 0.0701486362981595 -0.192410995426083 0.0979214804018418 0.398058722828899 0.414634494164662 0.267592306886437 0.134766298384243 0.100779372011454 0.389485048000061 0.0195566268807979 0.162788292012862 0.654037875923828 1.01325286747065 0.71450793121237 0.247880182707307 0.22202725553111 0.0771687905597271 -0.490056742603742 -0.516715741772392 -0.295954606820546 -0.159874998639716 -0.185552055563008 -0.641437062786811 -0.496593253669833 -0.555172703739707 -0.363356881244203 -0.288465465217915 0.292448635962871 -0.404598455549091 -0.438878499010047 -0.448771200735632 -0.213500769919595 -0.0707087804197687 -0.210247170240958 -0.250492146446076 -0.694842996250563 -0.628759748723653 -0.168756446411125 -0.880430080622548 -0.910254744343391 -1.27792616388378 -0.801361746089909 -1.14174396472209 -0.83634527056246 -0.991286963366737 NA -1.18911168616963 -0.861230911347712 -0.95856044047306 -1.28973878253685 -0.968467798053058 -0.844816354410441 -0.527575729888922 -0.377573060020226 -0.409317640668554 -0.523970389704483 -0.651637537454968 -0.542876441891161 -0.366801007030149 -0.255020805458237 -0.71009974068958 -0.842119677199321 -0.795499404326596 -0.812060519807947 -1.18503735864413 -1.34417062580918 NA
"15" 0.102655321375718 -0.0832395359388473 -0.241977095034873 0.134355934460815 0.855409315493529 1.35196431870029 0.795994481722384 0.640686392557892 1.04677080650237 1.06330261027491 0.612210067442614 0.936939833566765 1.30639926734496 1.07470486500455 0.674057773045538 1.36854009003605 1.65727507773347 1.39446629648429 1.21655887982224 0.784841376517688 0.375649921438648 0.463130716401642 1.05596002721636 1.18131154997034 1.33701534720385 1.33972668026938 1.2839758101003 1.39821819521281 1.44025118565574 1.65138342426135 1.74047636320925 1.58000941329305 1.15729060459517 0.795041851185844 0.60904440289043 0.76137735361004 1.16387108322449 1.18299697322729 1.52245587303175 1.89405506155356 2.19408971299976 1.78494222548395 0.603094126000665 0.513356329458805 0.801812855922467 1.34346392314349 1.53497197269642 1.53549958345512 1.15356801757547 1.03822644338235 0.849561629584629 0.515115031987798 0.999593611162133 1.16423747958469 0.627349565046361 0.284343948475097 0.0701486362981595 -0.192410995426083 0.0979214804018418 0.398058722828899 0.414634494164662 0.267592306886437 0.134766298384243 0.100779372011454 0.389485048000061 0.0195566268807979 0.162788292012862 0.654037875923828 1.01325286747065 0.71450793121237 0.247880182707307 0.22202725553111 0.0771687905597271 -0.490056742603742 -0.516715741772392 -0.295954606820546 -0.159874998639716 -0.185552055563008 -0.641437062786811 -0.496593253669833 -0.555172703739707 -0.363356881244203 -0.288465465217915 0.292448635962871 -0.404598455549091 -0.438878499010047 -0.448771200735632 -0.213500769919595 -0.0707087804197687 -0.210247170240958 -0.250492146446076 -0.694842996250563 -0.628759748723653 -0.168756446411125 -0.880430080622548 -0.910254744343391 -1.27792616388378 -0.801361746089909 -1.14174396472209 -0.83634527056246 -0.991286963366737 NA -1.18911168616963 -0.861230911347712 -0.95856044047306 -1.28973878253685 -0.968467798053058 -0.844816354410441 -0.527575729888922 -0.377573060020226 -0.409317640668554 -0.523970389704483 -0.651637537454968 -0.542876441891161 -0.366801007030149 -0.255020805458237 -0.71009974068958 -0.842119677199321 -0.795499404326596 -0.812060519807947 -1.18503735864413 -1.34417062580918 NA
"16" 0.102655321375718 -0.0832395359388473 -0.241977095034873 0.134355934460815 0.855409315493529 1.35196431870029 0.795994481722384 0.640686392557892 1.04677080650237 1.06330261027491 0.612210067442614 0.936939833566765 1.30639926734496 1.07470486500455 0.674057773045538 1.36854009003605 1.65727507773347 1.39446629648429 1.21655887982224 0.784841376517688 0.375649921438648 0.463130716401642 1.05596002721636 1.18131154997034 1.33701534720385 1.33972668026938 1.2839758101003 1.39821819521281 1.44025118565574 1.65138342426135 1.74047636320925 1.58000941329305 1.15729060459517 0.795041851185844 0.60904440289043 0.76137735361004 1.16387108322449 1.18299697322729 1.52245587303175 1.89405506155356 2.19408971299976 1.78494222548395 0.603094126000665 0.513356329458805 0.801812855922467 1.34346392314349 1.53497197269642 1.53549958345512 1.15356801757547 1.03822644338235 0.849561629584629 0.515115031987798 0.999593611162133 1.16423747958469 0.627349565046361 0.284343948475097 0.0701486362981595 -0.192410995426083 0.0979214804018418 0.398058722828899 0.414634494164662 0.267592306886437 0.134766298384243 0.100779372011454 0.389485048000061 0.0195566268807979 0.162788292012862 0.654037875923828 1.01325286747065 0.71450793121237 0.247880182707307 0.22202725553111 0.0771687905597271 -0.490056742603742 -0.516715741772392 -0.295954606820546 -0.159874998639716 -0.185552055563008 -0.641437062786811 -0.496593253669833 -0.555172703739707 -0.363356881244203 -0.288465465217915 0.292448635962871 -0.404598455549091 -0.438878499010047 -0.448771200735632 -0.213500769919595 -0.0707087804197687 -0.210247170240958 -0.250492146446076 -0.694842996250563 -0.628759748723653 -0.168756446411125 -0.880430080622548 -0.910254744343391 -1.27792616388378 -0.801361746089909 -1.14174396472209 -0.83634527056246 -0.991286963366737 NA -1.18911168616963 -0.861230911347712 -0.95856044047306 -1.28973878253685 -0.968467798053058 -0.844816354410441 -0.527575729888922 -0.377573060020226 -0.409317640668554 -0.523970389704483 -0.651637537454968 -0.542876441891161 -0.366801007030149 -0.255020805458237 -0.71009974068958 -0.842119677199321 -0.795499404326596 -0.812060519807947 -1.18503735864413 -1.34417062580918 NA
"22" 0.102655321375718 -0.0832395359388473 -0.241977095034873 0.134355934460815 0.855409315493529 1.35196431870029 0.795994481722384 0.640686392557892 1.04677080650237 1.06330261027491 0.612210067442614 0.936939833566765 1.30639926734496 1.07470486500455 0.674057773045538 1.36854009003605 1.65727507773347 1.39446629648429 1.21655887982224 0.784841376517688 0.375649921438648 0.463130716401642 1.05596002721636 1.18131154997034 1.33701534720385 1.33972668026938 1.2839758101003 1.39821819521281 1.44025118565574 1.65138342426135 1.74047636320925 1.58000941329305 1.15729060459517 0.795041851185844 0.60904440289043 0.76137735361004 1.16387108322449 1.18299697322729 1.52245587303175 1.89405506155356 2.19408971299976 1.78494222548395 0.603094126000665 0.513356329458805 0.801812855922467 1.34346392314349 1.53497197269642 1.53549958345512 1.15356801757547 1.03822644338235 0.849561629584629 0.515115031987798 0.999593611162133 1.16423747958469 0.627349565046361 0.284343948475097 0.0701486362981595 -0.192410995426083 0.0979214804018418 0.398058722828899 0.414634494164662 0.267592306886437 0.134766298384243 0.100779372011454 0.389485048000061 0.0195566268807979 0.162788292012862 0.654037875923828 1.01325286747065 0.71450793121237 0.247880182707307 0.22202725553111 0.0771687905597271 -0.490056742603742 -0.516715741772392 -0.295954606820546 -0.159874998639716 -0.185552055563008 -0.641437062786811 -0.496593253669833 -0.555172703739707 -0.363356881244203 -0.288465465217915 0.292448635962871 -0.404598455549091 -0.438878499010047 -0.448771200735632 -0.213500769919595 -0.0707087804197687 -0.210247170240958 -0.250492146446076 -0.694842996250563 -0.628759748723653 -0.168756446411125 -0.880430080622548 -0.910254744343391 -1.27792616388378 -0.801361746089909 -1.14174396472209 -0.83634527056246 -0.991286963366737 NA -1.18911168616963 -0.861230911347712 -0.95856044047306 -1.28973878253685 -0.968467798053058 -0.844816354410441 -0.527575729888922 -0.377573060020226 -0.409317640668554 -0.523970389704483 -0.651637537454968 -0.542876441891161 -0.366801007030149 -0.255020805458237 -0.71009974068958 -0.842119677199321 -0.795499404326596 -0.812060519807947 -1.18503735864413 -1.34417062580918 NA
"28" 0.126690922605287 -0.03858314755683 -0.227086746956063 0.156105222402692 0.861125098712754 1.40692377273132 0.790278698503159 0.633812796840412 1.01243213962378 1.06787523685029 0.565267365772914 0.885409849467268 1.3098287372765 1.04836829463287 0.646578046030023 1.35823702438703 1.66872130002633 1.38987901405449 1.19709590516805 0.773395154224824 0.387096143731512 0.440238271815915 1.08917019330552 1.20077452462452 1.36449507421936 1.35347387170434 1.29199256246163 1.36959531155344 1.44826793801707 1.71550278729755 1.75535205543364 1.62580895831891 1.14125709987252 0.768705280814179 0.62966519004287 0.770537262615211 1.17761827465946 1.18871275644652 1.54307666018419 1.90435812720258 2.27652889404631 1.79294432199087 0.579043868916691 0.499609138023837 0.781206724624431 1.39842337717452 1.56245169971193 1.64198902158564 1.15128170428778 1.02562240859124 0.800332614627228 0.424659098579922 0.998450454518292 1.12644003106576 0.609029747036017 0.359909533804163 0.0690054796543177 -0.216461252510065 0.118527611699877 0.487371499592933 0.429524842243472 0.273322745960075 0.148513489819203 0.12024234666564 0.388341891356219 0.0161271569492561 0.215461432756209 0.707839517456613 1.13576115446942 0.763736946169771 0.275359909722822 0.345678699173727 0.0977749218577625 -0.400758621694121 -0.456040504522136 -0.204355516768828 -0.0602591562266675 -0.130592601531977 -0.570444104033129 -0.517214040822273 -0.516232098576915 -0.241991750889277 -0.193422249380258 0.379475099439214 -0.343908562444422 -0.44116481229773 -0.43846813508661 -0.219231208993225 -0.0821550027126323 -0.21826392260228 -0.346663863073177 -0.682238961459445 -0.566926698975142 -0.169899603054975 NA NA NA NA NA NA NA NA -1.16736239822776 -0.828020745258559 -0.999772703069131 -1.24508239415484 -0.975341393770538 -0.823067066468564 -0.482919341506913 -0.338647110711847 -0.364661252286537 -0.394588506988236 -0.597821240067787 -0.513110401587953 -0.339321280014634 -0.249305022239004 -0.656283443302391 -0.88677606558133 -0.766876520667239 -0.775420883787259 -1.14266728354981 -1.28348073270452 NA
"31" 0.162187401982124 -0.0145328904728481 -0.267155852908284 0.122895056313538 0.887461669084428 1.44699287868354 0.804011234083706 0.68419962429606 1.05021493228832 1.07474883256777 0.621369976447786 0.904872824121453 1.29723935833979 1.0907383697272 0.706124782490842 1.32847098408383 1.64467104294236 1.32461649437445 1.1833633695875 0.749344897140842 0.421449466464507 0.417331171375783 1.03306758263064 1.16872217103363 1.37365498322453 1.33170992790806 1.25420976979709 1.29288656958054 1.35896981710745 1.58840721786899 1.67864331346074 1.53763933819873 1.03821178752794 0.678249347406302 0.60904440289043 0.739613409813749 1.1615847699368 1.13834058484527 1.51902640310022 1.87687840018706 2.20094865286284 1.73112592809677 0.582487994702638 0.506482733741317 0.774333128906951 1.38010355916418 1.54527503834544 1.58358544176867 1.16387108322449 1.06111888796807 0.782012796616884 0.381145866841755 0.926314339120759 0.992485521774121 0.591853085669524 0.3484633115113 0.0392394393511105 -0.262260797535924 0.0338021173656392 0.432412045561903 0.391742049578935 0.322551760917468 0.100427631505653 0.176344957340521 0.318492089246378 0.0607835453312734 0.263547291069752 0.762798971487644 1.10256564423468 0.769467385243401 0.245593869419615 0.274700396274457 0.0805982604912606 -0.395028182620482 -0.501840049547995 -0.299384076752079 -0.0510992472214957 -0.138609353893307 -0.596780674404794 -0.473700809084106 -0.492196497347346 -0.31298470964296 -0.265558364777783 0.389778165088228 -0.400011173119295 -0.429718590004875 -0.462503736316179 -0.227247961354555 -0.123367265308703 -0.257189871910659 -0.413084195251477 -0.732625788915101 -0.545162755178852 -0.222572743798314 -0.779671081565659 -0.902237991982061 -1.22525302314044 -0.846018134471918 -1.08335504075952 -0.803135104473307 -0.867620863869716 NA -1.06087296009723 -0.903586330587625 -0.915047208734893 -1.16951680882577 -1.05892373146093 -0.841386884478908 -0.468043649282507 -0.342076580643389 -0.366947565574228 -0.354504745181602 -0.511952589089699 -0.470740326493636 -0.278646042764378 -0.194345568207973 -0.7032261449721 -0.867313090927144 -0.742840919437662 -0.761673692352299 -1.16671754063379 -1.34645693909687 NA
