"x.detection_history.o1" "x.detection_history.o2" "x.detection_history.o3" "x.detection_history.o4" "x.detection_history.o5" "x.detection_history.o6" "x.detection_history.o7" "x.detection_history.o8" "x.detection_history.o9" "x.detection_history.o10" "x.detection_history.o11" "x.detection_history.o12" "x.detection_history.o13" "x.detection_history.o14" "x.detection_history.o15" "x.detection_history.o16" "x.detection_history.o17" "x.detection_history.o18" "x.detection_history.o19" "x.detection_history.o20" "x.detection_history.o21" "x.detection_history.o22" "x.detection_history.o23" "x.detection_history.o24" "x.detection_history.o25" "x.detection_history.o26" "x.detection_history.o27" "x.detection_history.o28" "x.detection_history.o29" "x.detection_history.o30" "x.detection_history.o31" "x.detection_history.o32" "x.detection_history.o33" "x.detection_history.o34" "x.detection_history.o35" "x.detection_history.o36" "x.detection_history.o37" "x.detection_history.o38" "x.detection_history.o39" "x.detection_history.o40" "x.detection_history.o41" "x.detection_history.o42" "x.detection_history.o43" "x.detection_history.o44" "x.detection_history.o45" "x.detection_history.o46" "x.detection_history.o47" "x.detection_history.o48" "x.detection_history.o49" "x.detection_history.o50" "x.detection_history.o51" "x.detection_history.o52" "x.detection_history.o53" "x.detection_history.o54" "x.detection_history.o55" "x.detection_history.o56" "x.detection_history.o57" "x.detection_history.o58" "x.detection_history.o59" "x.detection_history.o60" "x.detection_history.o61" "x.detection_history.o62" "x.detection_history.o63" "x.detection_history.o64" "x.detection_history.o65" "x.detection_history.o66" "x.detection_history.o67" "x.detection_history.o68" "x.detection_history.o69" "x.detection_history.o70" "x.detection_history.o71" "x.detection_history.o72" "x.detection_history.o73" "x.detection_history.o74" "x.detection_history.o75" "x.detection_history.o76" "x.detection_history.o77" "x.detection_history.o78" "x.detection_history.o79" "x.detection_history.o80" "x.detection_history.o81" "x.detection_history.o82" "x.detection_history.o83" "x.detection_history.o84" "x.detection_history.o85" "x.detection_history.o86" "x.detection_history.o87" "x.detection_history.o88" "x.detection_history.o89" "x.detection_history.o90" "x.detection_history.o91" "x.detection_history.o92" "x.detection_history.o93" "x.detection_history.o94" "x.detection_history.o95" "x.detection_history.o96" "x.detection_history.o97" "x.detection_history.o98" "x.detection_history.o99" "x.detection_history.o100" "x.detection_history.o101" "x.detection_history.o102" "x.detection_history.o103" "x.detection_history.o104" "x.detection_history.o105" "x.detection_history.o106" "x.detection_history.o107" "x.detection_history.o108" "x.detection_history.o109" "x.detection_history.o110" "x.detection_history.o111" "x.detection_history.o112" "x.detection_history.o113" "x.detection_history.o114" "x.detection_history.o115" "x.detection_history.o116" "x.detection_history.o117" "x.detection_history.o118" "x.detection_history.o119" "x.detection_history.o120" "x.detection_history.o121" "x.detection_history.o122" "x.detection_history.o123"
"NE1483_32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NE1487_30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE1884_81" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2048_23" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2048_79" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2354_24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2358_31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2758_35" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2881_9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"NE2898_4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
