Cell_ID,Camera_ID,Setup_date,Retrieval_date,Problem1_from,Problem1_to,CameraLocation,Year
NE1483,32,2018-06-07,2018-10-04,NA,NA,NE1483_32,2018
NE1487,30,2018-06-07,2019-06-07,NA,NA,NE1487_30,2018
NE1884,81,2018-06-21,2019-06-07,NA,NA,NE1884_81,2018
NE2048,23,2018-08-03,2019-05-29,NA,NA,NE2048_23,2018
NE2048,79,2018-08-03,2019-05-29,NA,NA,NE2048_79,2018
NE2354,24,2018-06-27,2019-06-23,NA,NA,NE2354_24,2018
NE2358,31,2018-06-27,2019-06-23,NA,NA,NE2358_31,2018
NE2758,35,2018-06-26,2019-07-15,NA,NA,NE2758_35,2018
NE2881,9,2018-06-05,2019-07-17,2018-10-02,2018-10-10,NE2881_9,2018
NE2898,4,2018-06-03,2019-06-13,NA,NA,NE2898_4,2018
NE2902,22,2018-06-03,2019-06-12,NA,NA,NE2902_22,2018
NE2947,12,2018-06-06,2019-06-21,NA,NA,NE2947_12,2018
NE2952,115,2018-06-28,2019-06-21,NA,NA,NE2952_115,2018
NE3000,17,2018-06-03,2019-06-12,2018-07-29,2018-10-04,NE3000_17,2018
NE3109,113,2018-06-30,2019-06-11,2018-07-25,2018-07-30,NE3109_113,2018
NE3149,8,2018-06-06,2019-06-21,NA,NA,NE3149_8,2018
NE3248,40,2018-07-03,2019-06-21,2018-07-31,2018-08-01,NE3248_40,2018
NE3288,60,2018-06-29,2019-06-11,NA,NA,NE3288_60,2018
NE3558,69,2018-06-28,2019-07-10,2018-07-30,2018-08-01,NE3558_69,2018
NE3661,36,2018-06-28,2018-08-01,NA,NA,NE3661_36,2018
NE3815,28,2018-06-07,2019-06-12,NA,NA,NE3815_28,2018
NE3877,7,2018-06-06,2018-06-21,NA,NA,NE3877_7,2018
NE3893,29,2018-06-29,2019-07-15,NA,NA,NE3893_29,2018
NE3903,25,2018-06-29,2019-06-11,2018-07-25,2018-07-30,NE3903_25,2018
NE4016,116,2018-06-30,2019-07-09,NA,NA,NE4016_116,2018
NE4485,14,2018-06-04,2019-02-19,NA,NA,NE4485_14,2018
NE4498,21,2018-06-05,2019-04-19,NA,NA,NE4498_21,2018
NE4523,114,2018-06-30,2019-07-09,NA,NA,NE4523_114,2018
NE4771,95,2018-07-02,2019-06-17,2018-07-18,2018-10-06,NE4771_95,2018
NE4891,5,2018-05-22,2019-05-26,NA,NA,NE4891_5,2018
NE5022,56,2018-06-30,2019-06-12,NA,NA,NE5022_56,2018
NE5094,10,2018-06-04,2019-05-26,2018-07-13,2018-07-31,NE5094_10,2018
NE5345,3,2018-06-02,2019-05-28,NA,NA,NE5345_3,2018
NE5345,82,2018-06-30,2019-05-28,NA,NA,NE5345_82,2018
NE5383,27,2018-06-28,2019-05-26,NA,NA,NE5383_27,2018
NE5397,11,2018-06-04,2019-05-26,NA,NA,NE5397_11,2018
NE5511,54,2018-07-03,2019-07-15,NA,NA,NE5511_54,2018
NE5702,13,2018-06-04,2019-05-26,NA,NA,NE5702_13,2018
NE5736,6,2018-06-02,2019-07-08,NA,NA,NE5736_6,2018
NE5740,15,2018-06-07,2019-05-28,NA,NA,NE5740_15,2018
NE5814,18,2018-06-01,2019-07-15,NA,NA,NE5814_18,2018
NE5846,2,2018-06-02,2019-05-28,NA,NA,NE5846_2,2018
NE5853,20,2018-06-02,2019-07-15,NA,NA,NE5853_20,2018
NE5921,26,2018-07-01,2019-05-27,NA,NA,NE5921_26,2018
NE6019,33,2018-07-01,2019-05-27,NA,NA,NE6019_33,2018
NE6025,119,2018-07-01,2019-06-20,NA,NA,NE6025_119,2018
NE6248,1,2018-06-02,2019-05-28,NA,NA,NE6248_1,2018
NE6491,34,2018-07-02,2019-06-19,2018-08-01,2018-08-02,NE6491_34,2018
NE6685,85,2018-06-29,2019-06-19,NA,NA,NE6685_85,2018
NE7141,39,2018-07-27,2019-06-20,NA,NA,NE7141_39,2018
NE7302,84,2018-06-26,2019-06-18,NA,NA,NE7302_84,2018
NE7394,117,2018-06-28,2019-06-19,NA,NA,NE7394_117,2018
NE7602,118,2018-06-26,2019-07-18,NA,NA,NE7602_118,2018
OK2051,38,2018-10-23,2019-08-02,NA,NA,OK2051_38,2018
OK2169,112,2018-06-15,2019-06-24,2018-08-11,2018-08-23,OK2169_112,2018
OK2264,110,2018-06-15,2019-06-24,NA,NA,OK2264_110,2018
OK2329,19,2018-06-14,2019-07-24,NA,NA,OK2329_19,2018
OK2428,120,2018-06-14,2019-06-10,2018-11-28,2019-06-10,OK2428_120,2018
OK2448,124,2018-06-16,2019-07-29,NA,NA,OK2448_124,2018
OK2737,121,2018-06-16,2019-07-29,2018-10-05,2019-07-29,OK2737_121,2018
OK2749,59,2018-09-21,2019-06-25,NA,NA,OK2749_59,2018
OK2822,107,2018-06-16,2019-07-24,NA,NA,OK2822_107,2018
OK2838,44,2018-07-08,2019-08-03,NA,NA,OK2838_44,2018
OK2929,93,2018-07-08,2019-06-25,NA,NA,OK2929_93,2018
OK3019,111,2018-06-16,2019-05-23,NA,NA,OK3019_111,2018
OK3304,122,2018-06-16,2019-06-03,NA,NA,OK3304_122,2018
OK3576,51,2018-07-22,2019-06-10,NA,NA,OK3576_51,2018
OK3599,68,2018-06-14,2019-05-24,2018-07-22,2018-08-12,OK3599_68,2018
OK3667,92,2018-07-04,2019-07-04,2018-08-10,2018-10-02,OK3667_92,2018
OK3725,78,2018-07-07,2019-06-11,NA,NA,OK3725_78,2018
OK3913,102,2018-07-07,2019-07-02,NA,NA,OK3913_102,2018
OK4093,88,2018-08-24,2019-06-09,NA,NA,OK4093_88,2018
OK4108,89,2018-07-20,2019-07-03,NA,NA,OK4108_89,2018
OK4132,42,2018-07-04,2019-06-30,2018-07-30,2018-08-21,OK4132_42,2018
OK4190,63,2018-06-18,2019-06-09,NA,NA,OK4190_63,2018
OK4196,55,2018-06-19,2019-07-02,2018-07-13,2018-10-01,OK4196_55,2018
OK4295,47,2018-07-20,2019-07-03,NA,NA,OK4295_47,2018
OK4494,87,2018-07-20,2019-07-03,NA,NA,OK4494_87,2018
OK4505,83,2018-07-07,2019-06-11,NA,NA,OK4505_83,2018
OK4636,53,2018-07-22,2019-06-07,NA,NA,OK4636_53,2018
OK4655,74,2018-06-18,2019-07-27,2018-07-03,2018-11-14,OK4655_74,2018
OK4794,71,2018-06-18,2019-06-11,NA,NA,OK4794_71,2018
OK4865,67,2018-06-18,2019-06-09,NA,NA,OK4865_67,2018
OK4880,94,2018-07-10,2019-07-07,NA,NA,OK4880_94,2018
OK4885,91,2018-07-07,2019-07-01,NA,NA,OK4885_91,2018
OK4965,96,2018-06-19,2019-06-28,NA,NA,OK4965_96,2018
OK4990,58,2018-07-07,2019-06-11,NA,NA,OK4990_58,2018
OK5020,97,2018-07-21,2019-07-31,NA,NA,OK5020_97,2018
OK5056,65,2018-06-18,2019-06-09,NA,NA,OK5056_65,2018
OK5309,75,2018-06-18,2019-07-31,NA,NA,OK5309_75,2018
OK5334,100,2018-07-09,2019-05-23,NA,NA,OK5334_100,2018
OK5453,50,2018-07-10,2019-07-22,NA,NA,OK5453_50,2018
OK5552,103,2018-07-10,2019-07-22,NA,NA,OK5552_103,2018
OK5637,70,2018-06-17,2019-06-09,NA,NA,OK5637_70,2018
OK5700,108,2018-06-17,2019-05-24,NA,NA,OK5700_108,2018
OK5930,72,2018-06-17,2019-07-08,NA,NA,OK5930_72,2018
OK6198,46,2018-07-21,2020-03-16,NA,NA,OK6198_46,2018
OK6299,86,2018-06-20,2019-05-24,NA,NA,OK6299_86,2018
OK6316,62,2018-06-17,2019-07-08,2018-09-14,2018-11-14,OK6316_62,2018
OK6317,73,2018-06-17,2019-07-08,NA,NA,OK6317_73,2018
OK6562,66,2018-07-06,2019-06-08,NA,NA,OK6562_66,2018
OK6576,52,2018-11-04,2019-05-24,NA,NA,OK6576_52,2018
OK6576,64,2018-06-13,2019-05-24,2018-08-12,2018-11-04,OK6576_64,2018
OK6771,16,2018-06-13,2019-06-08,NA,NA,OK6771_16,2018
OK6956,77,2018-06-13,2019-05-24,NA,NA,OK6956_77,2018
OK7165,90,2018-06-20,2019-06-04,NA,NA,OK7165_90,2018
OK7237,99,2018-07-06,2019-06-08,NA,NA,OK7237_99,2018
OK7371,41,2018-07-09,2019-06-04,NA,NA,OK7371_41,2018
OK7439,126,2018-06-15,2019-05-26,NA,NA,OK7439_126,2018
OK7440,123,2018-06-15,2019-05-26,NA,NA,OK7440_123,2018
OK7658,43,2018-07-09,2018-08-22,NA,NA,OK7658_43,2018
OK7825,125,2018-06-15,2019-08-01,NA,NA,OK7825_125,2018
OK7945,45,2018-07-09,2019-06-04,NA,NA,OK7945_45,2018
OK8036,101,2018-07-09,2019-06-12,NA,NA,OK8036_101,2018
OK8125,76,2018-06-16,2019-06-05,NA,NA,OK8125_76,2018
OK8607,57,2018-06-16,2019-06-05,2018-06-19,2018-08-22,OK8607_57,2018
NE1380,106,2019-06-06,2020-06-29,2019-07-31,2019-08-18,NE1380_106,2019
NE1538,6,2019-07-10,2020-07-31,NA,NA,NE1538_6,2019
NE1945,79,2019-05-29,2019-08-19,NA,NA,NE1945_79,2019
NE1990,123,2019-06-06,2020-06-29,2019-08-28,2020-06-29,NE1990_123,2019
NE1999,69,2019-08-18,2020-07-22,NA,NA,NE1999_69,2019
NE2298,30,2019-06-07,2020-06-29,NA,NA,NE2298_30,2019
NE2383,120,2019-07-19,2020-06-23,NA,NA,NE2383_120,2019
NE2484,66,2019-07-19,2020-06-12,NA,NA,NE2484_66,2019
NE2542,39,2019-06-21,2020-07-31,NA,NA,NE2542_39,2019
NE2775,18,2019-07-17,2020-07-21,NA,NA,NE2775_18,2019
NE2864,20,2019-07-16,2020-06-29,NA,NA,NE2864_20,2019
NE2878,35,2019-07-17,2020-06-23,NA,NA,NE2878_35,2019
NE2889,81,2019-06-11,2020-07-28,NA,NA,NE2889_81,2019
NE2969,37,2019-07-10,2020-07-21,NA,NA,NE2969_37,2019
NE3003,56,2019-06-12,2020-07-22,NA,NA,NE3003_56,2019
NE3057,54,2019-08-17,2020-05-11,NA,NA,NE3057_54,2019
NE3147,40,2019-06-21,2020-07-31,NA,NA,NE3147_40,2019
NE3464,10,2019-05-29,2020-07-29,2019-08-17,2020-07-29,NE3464_10,2019
NE3488,118,2019-07-19,2020-07-20,NA,NA,NE3488_118,2019
NE3589,60,2019-06-11,2020-07-20,2019-08-21,2020-07-20,NE3589_60,2019
NE3597,113,2019-06-11,2020-07-28,NA,NA,NE3597_113,2019
NE3654,88,2019-08-17,2020-07-31,NA,NA,NE3654_88,2019
NE3685,29,2019-07-16,2020-07-20,NA,NA,NE3685_29,2019
NE4174,101,2019-06-17,2020-07-24,NA,NA,NE4174_101,2019
NE4379,3,2019-08-20,2020-07-24,NA,NA,NE4379_3,2019
NE4422,114,2019-07-09,2020-07-30,NA,NA,NE4422_114,2019
NE4425,116,2019-07-09,2020-07-30,NA,NA,NE4425_116,2019
NE4470,23,2019-05-30,2020-07-20,NA,NA,NE4470_23,2019
NE4672,82,2019-05-30,2020-07-20,NA,NA,NE4672_82,2019
NE4882,5,2019-05-26,2020-07-20,2019-08-20,2020-07-20,NE4882_5,2019
NE5305,84,2019-06-19,2020-07-22,NA,NA,NE5305_84,2019
NE5337,15,2019-05-28,2020-07-23,NA,NA,NE5337_15,2019
NE5627,48,2019-06-28,2020-06-18,NA,NA,NE5627_48,2019
NE5627,94,2019-07-08,2020-06-18,NA,NA,NE5627_94,2019
NE5645,2,2019-05-29,2020-07-23,NA,NA,NE5645_2,2019
NE5684,13,2019-05-26,2020-07-21,2019-08-26,2020-07-21,NE5684_13,2019
NE5830,83,2019-07-08,2020-06-19,NA,NA,NE5830_83,2019
